 Charge State log10(Te (eV)) log10(Electron Density (cm-3)) log10(Coefficient) te intervals          40 ne intervals          24 z          29
           1  0.36146000000000000        11.521739999999999       -25.164410000000000     
           1  0.36146000000000000        11.739129999999999       -25.164410000000000     
           1  0.36146000000000000        11.956519999999999       -25.164410000000000     
           1  0.36146000000000000        12.173909999999999       -25.164410000000000     
           1  0.36146000000000000        12.391299999999999       -25.164410000000000     
           1  0.36146000000000000        12.608700000000001       -25.164410000000000     
           1  0.36146000000000000        12.826090000000001       -25.164410000000000     
           1  0.36146000000000000        13.043480000000001       -25.164410000000000     
           1  0.36146000000000000        13.260870000000001       -25.164410000000000     
           1  0.36146000000000000        13.478260000000001       -25.164410000000000     
           1  0.36146000000000000        13.695650000000001       -25.164410000000000     
           1  0.36146000000000000        13.913040000000001       -25.164410000000000     
           1  0.36146000000000000        14.130430000000000       -25.164410000000000     
           1  0.36146000000000000        14.347830000000000       -25.164410000000000     
           1  0.36146000000000000        14.565220000000000       -25.164410000000000     
           1  0.36146000000000000        14.782610000000000       -25.164410000000000     
           1  0.36146000000000000        15.000000000000000       -25.164410000000000     
           1  0.48194999999999999        10.000000000000000       -25.062830000000002     
           1  0.48194999999999999        10.217390000000000       -25.062830000000002     
           1  0.48194999999999999        10.434780000000000       -25.062830000000002     
           1  0.48194999999999999        10.652170000000000       -25.062830000000002     
           1  0.48194999999999999        10.869570000000000       -25.062830000000002     
           1  0.48194999999999999        11.086959999999999       -25.062830000000002     
           1  0.48194999999999999        11.304349999999999       -25.062830000000002     
           1  0.48194999999999999        11.521739999999999       -25.062830000000002     
           1  0.48194999999999999        11.739129999999999       -25.062830000000002     
           1  0.48194999999999999        11.956519999999999       -25.062830000000002     
           1  0.48194999999999999        12.173909999999999       -25.062830000000002     
           1  0.48194999999999999        12.391299999999999       -25.062830000000002     
           1  0.48194999999999999        12.608700000000001       -25.062830000000002     
           1  0.48194999999999999        12.826090000000001       -25.062830000000002     
           1  0.48194999999999999        13.043480000000001       -25.062830000000002     
           1  0.48194999999999999        13.260870000000001       -25.062830000000002     
           1  0.48194999999999999        13.478260000000001       -25.062830000000002     
           1  0.48194999999999999        13.695650000000001       -25.062830000000002     
           1  0.48194999999999999        13.913040000000001       -25.062830000000002     
           1  0.48194999999999999        14.130430000000000       -25.062830000000002     
